event_id,kind,domain,recording_id,start_ns,end_ns,peak_ns,duration_s,route_progress_m,osm_way_id,road_class,detail_approach_distance_m,detail_closest_distance_m,detail_mean_curvature_1_per_m,detail_max_curvature_1_per_m,detail_length_m,detail_previous_class,detail_new_class,detail_duration_s
motorcycle_junction_approach_020,junction_approach,motorcycle,motorcycle_5ab8604a14df,2493248136611,2493248136611,2493248136611,0.0,5143.696251071724,441627318,primary,19.54738482610243,,,,,,,
motorcycle_junction_crossing_020,junction_crossing,motorcycle,motorcycle_5ab8604a14df,2493248136611,2496248136560,2494248136560,2.999999949,5171.228051732662,615494294,primary,,3.001547279811796,,,,,,
motorcycle_junction_approach_021,junction_approach,motorcycle,motorcycle_5ab8604a14df,2498248136507,2499248136507,2498248136507,1.0,5245.183288306956,847429427,primary,25.131377570997124,,,,,,,
motorcycle_junction_crossing_021,junction_crossing,motorcycle,motorcycle_5ab8604a14df,2498248136507,2501248136455,2500248136455,2.999999948,5281.0168841642535,378031612,primary,,5.702549802771709,,,,,,
motorcycle_junction_approach_022,junction_approach,motorcycle,motorcycle_5ab8604a14df,2506248136351,2506248136351,2506248136351,0.0,5396.328763652526,378031612,primary,10.960343988557634,,,,,,,
motorcycle_junction_crossing_022,junction_crossing,motorcycle,motorcycle_5ab8604a14df,2506248136351,2508248136299,2507248136351,1.999999948,5414.976080651283,378031612,primary,,7.686973010199367,,,,,,
motorcycle_junction_approach_023,junction_approach,motorcycle,motorcycle_5ab8604a14df,2530248135830,2531248135830,2530248135830,1.0,5809.764981500604,378031612,primary,12.470964539195913,,,,,,,
motorcycle_junction_crossing_023,junction_crossing,motorcycle,motorcycle_5ab8604a14df,2530248135830,2537248135778,2532248135830,6.999999948,5854.436459247736,378031612,primary,,1.3393904383135664,,,,,,
motorcycle_straight_009,straight,motorcycle,motorcycle_5ab8604a14df,2495248136560,2599248134007,2547248135466,103.999997447,6097.459475995539,378031612,primary,,,4.259386044215786e-05,0.0007915688006366034,,,,
motorcycle_junction_approach_024,junction_approach,motorcycle,motorcycle_5ab8604a14df,2561248135205,2561248135205,2561248135205,0.0,6305.991889331177,378031612,primary,17.23043885209927,,,,,,,
motorcycle_junction_crossing_024,junction_crossing,motorcycle,motorcycle_5ab8604a14df,2561248135205,2564248135101,2562248135153,2.999999896,6320.943003590577,378031612,primary,,2.279324592699564,,,,,,
motorcycle_junction_approach_025,junction_approach,motorcycle,motorcycle_5ab8604a14df,2567248134997,2567248134997,2567248134997,0.0,6397.213258312355,378031612,primary,15.657396228064865,,,,,,,
